,Question,,,,Response,
118,ଧାନ ଫସଲ ରେ ଲେଡା ପୋକ ଲାଗିଛି । ଏହାର ପ୍ରତିକାର ପାଇଁ କେଉଁ ମେଡିସିନ ସ୍ପ୍ରେ କରିବି?,,Pest and Disease management,Swarming Caterpillar,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ଫସଲ ରେ ଲେଡା ପୋକ ଲାଗୁଛି ଏବଂ ଏହାର ପ୍ରତିକାର ପାଇଁ କଣ କରିବେ। ତେବେ ଏହି ପୋକ ର ପ୍ରତିକାର ପାଇଁ Chlorpyriphos 50% ଏବଂ Cypermethrin 5% ମିଶ୍ରିତ ଔଷଧ ଯାହାକି Anaconda କିମ୍ବା Ulka-505 ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Prophenophos50%EC ଯାହାକି Prahar ବା Profex ନା ରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
119,ଧାନ ଗଛ ହଳଦିଆ ପଡିଯାଉଛି କଣ କରିବାକୁ ପଡିବ?,,Pest and Disease management,Sucking Pest,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ହଳଦିଆ ପଡିଯାଉଛି, ଏହା ଶୋଷକ କୀଟ ଦ୍ଵାରା ହୋଇଥାଏ । ତେଣୁ ଏହାର ପ୍ରତିକାର ପାଇଁ Thiamethoxam 25%WG ଯାହାକି Actara ବା Evident ନା ରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 5ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Dinotefuran10%SG ଔଷଧ ଯାହାକି Osheen ବା Token ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
120,ଧାନ ଫସଲରେ ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ପାଇଁ କଣ ଔଷଧ ଆବଶ୍ୟକ?,,Pest and Disease management,Brown Plant Hopper,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ଲାଗିଯାଉଛି, ଏହାର ପ୍ରତିକାର କଣ। ତେବେ ଏହି ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ବା ଚକଡା ପୋକ ଧାନ ଗଛ ମୂଳରେ ଠିକ ପାଣି ସ୍ତର ଉପରେ ବସି ରହି ରସ ଶୋଷି ନିଏ ଯାହା ଦ୍ଵାରା ଗଛଟି ଶୁଖି ଯାଏ, ଏହାର ପ୍ରତିକାର ପାଇଁ ପ୍ରଥମେ ଧାନ କିଆରି ର ଫୁଟେ ଦେଢ ଫୁଟ ହିସାବ ରେ ପାହି କରିଦିଅନ୍ତୁ ଏବଂ ପାଣି କାଟି ଦିଅନ୍ତୁ । ଏହାପରେ ଆପଣ Flonicamide 50%WG ଔଷଧ ଯାହାକି Ulala ବା Turbine ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Thiamethoxam 25%WG ଯାହାକି Actara ବା Evident ନା ରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Dinotefuran10%SG ଔଷଧ ଯାହାକି Osheen ବା Token ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
121,"ଧାନ ଜମି ରେ ବକି ପୋକ ଲାଗୁଛି, ଏହାର ପ୍ରତିକାର ପାଇଁ କଣ କରିବି?",,Pest and Disease management,Caseworm,"ଧାନ ଜମିରେ ବକି ପୋକ ଲାଗୁଛି ତେବେ ଏହି ପୋକର ପ୍ରତିକାର ପାଇଁ Cartap Hydrochloride 50% SP କୀଟନାଶକ ଯାହାକି Caldan ବା Padan ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Fipronil 5% SC କୀଟନାଶକ ଯାହାକି Surgent SC ବା Regent ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟରେ ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
122,"ଧାନ ରେ ପତ୍ର ଧଳା ପଡିଯାଉଛି, ବକି ପୋକ ଲାଗି ଯାଉଛି ବୋଲି ଆମେ ଭାବୁଛୁ । କଣ ସବୁ ଔଷଧ ଦେବା ଏହି ପୋକ ର ଦମନ ପାଇଁ ସେ ବିଷୟରେ କହିବେ?",,Pest and Disease management,Caseworm,"ଯଦି ନଳି ପୋକ ଲାଗିଛି ତେବେ ଏହି ପୋକ ର ଶୂକ ଅଗପତ୍ରଗୁଡିକ କାଟି ନଳି ତିଆରି କରେ ଏବଂ ଏହି ନଳି ପାଣି ଉପରେ ଭାସୁଥାଏ ତେବେ ଏହି ପୋକ ର ପ୍ରତିକାର ପାଇଁ Prophenophos 50%EC ଯାହାକି Prahar ବା Profex ନା ରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ କିମ୍ବା Fipronil 5% SC କୀଟନାଶକ ଯାହାକି Surgent SC ବା Regent ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟରେ ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
123,"ଧାନ ଖେତ ରେ ମୂଷା ଉତ୍ପାତ କରୁଥିବାରୁ ଏହାର ପ୍ରତିକାର ପାଇଁ ପ୍ରଶ୍ନ ରଖିଛି, ଉତ୍ତର କହିବେ?",,Pest and Disease management,Rat Control,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ବିଳରେ ମୂଷା ର କିପରି ପରିଚାଳନା କରିବେ। ତେବେ ମୂଷା ର ପରିଚାଳନା ପାଇଁ ଦୁଇଟା Celphos ବଟିକା ମୂଷା ଗାତ ରେ ରଖି ଗାତ ର ମୂହ କୁ ବନ୍ଦ କରିଦିଅନ୍ତୁ, ଏହା ସହିତ ମୂଷା ଜନ୍ତା ବ୍ୟବହାର କରନ୍ତୁ ଏବଂ ଖାଦ୍ୟ ରେ ମୂଷା ବିଷ ଦେଇ ଜମିରେ ବିଭିନ ଜାଗାରେ ରଖନ୍ତୁ।",
124,"ଧାନ କାନ୍ଧି ମରିଯାଉଛି, ବଡ ବଡ କାନ୍ଧି ହୋଇ ମରିଯାଉଛି, କ’ଣ ପାଇଁ ହଉଛି ଟିକେ କହିବେ?",,Pest and Disease management,Stemborer and Neck Blast,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ କାନ୍ଧି ମରିଯାଉଛି । ତେବେ ଧାନ କାନ୍ଧି ମରିବାର ଦୁଇଟି କାରଣ ଥାଏ ଯାହାକି କାଣ୍ଡବିନ୍ଧା ପୋକ ଲାଗିଲେ କିମ୍ବା ଗଳା ମହିଷା ରୋଗ ହେଲେ ହୁଏ । ଯଦି ଆପଣ କାଣ୍ଡବିନ୍ଧା ପୋକ କୁ ଲକ୍ଷ କରିପାରୁଛନ୍ତି ତେବେ Fipronil 5% SC କୀଟନାଶକ ଯାହାକି Falcon ବା Regent ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟରେ ପାଣିରେ ମିଶାଇ କିମ୍ବା Cartap hydrochloride 50% SP କୀଟନାଶକ ଯାହାକି Caldan ବା Padan ବା Indane SP ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ। ଯଦି କେଣ୍ଡା ର ଗଳା ଲାଲ ପଡି କ୍ରମଶଃ ଧୂସର ରଙ୍ଗ ହେଉଛି ତେବେ Propiconazole 25% EC ଫିମିନାଶକ ଯାହାକି Tilt ବା Radar ନାମରେ ମିଳୁଛି ସେଥିରୁ 15 ମିଲି ପ୍ରତି 15 ଲିଟର କିମ୍ବା Validamycin 3%L ଔଷଧ ଯାହାକି Auzar ବା Sheathmar ନା ରେ ମିଳୁଛି ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। । କେଣ୍ଡା ର ଭଲ ବୃଦ୍ଧି ପାଇଁ Agromin gold 15 ମିଲି ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ।",
125,"ଧାନ କେଣ୍ଡା ରେ କଳା କଳା ମାଇଟ ଲାଗିଯାଉଛି, ଧାନ ଫସଲ ନଷ୍ଟ ହେଇଯାଉଛି। ଏହାର ନିରାକରଣ କଣ?",,Pest and Disease management,Mite,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ମାଇଟ ଲାଗିଛନ୍ତି। ଏହି ପୋକ ର ପରିଚାଳନା ପାଇଁ Propargite 57% EC ଯାହାକି O-mite ନାମରେ ମିଳୁଛି 15 ମିଲି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ।,
126,ମୋ ଧାନ ରେ କେଣ୍ଡା କଟା ପୋକ ଲାଗୁଛି ଏବଂ କେଣ୍ଡା ଖାଇଦଉଛି ତେବେ ଏହାର ଦମନ ପାଇଁ କଣ କରିବି?,,Pest and Disease management,Earhead Caterpillar,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ କେଣ୍ଡା କଟା ପୋକ ଲାଗୁଛି ତେବେ ଏହି ପୋକର ପରିଚାଳନା ପାଇଁ Chlorpyriphos 20%EC ଔଷଧ ଯାହାକି Tricel ବା Classic ନା ରେ ମିଳୁଛି 30 ମିଲି କୁ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Fipronil 5% SC କୀଟନାଶକ ଯାହାକି Falcon ବା Regent ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲି ପ୍ରତି 15 ଲିଟରେ ପାଣିରେ ମିଶାଇ କିମ୍ବା Cartap hydrochloride 50% SP କୀଟନାଶକ ଯାହାକି Caldan ବା Padan ବା Indane SP ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡିଥାଏ।",
127,ତଳି ଗୁଡିକ ସଢି ଯାଉଛି। ଏହାର ପ୍ରତିକାର କିଛି କୁହନ୍ତୁ?,,Pest and Disease management,Seedling rot,"ଆପଣ ପଚାରି ଥିଲେ ଯେ ତଳି ଗୁଡିକ ସଢି ଯାଉଛି ଏବଂ ସୁଖୀକି ମରି ଯାଉଛି। ଏହାର ପ୍ରତିକାର କରିବା ପାଇଁ ଆପଣ Copper oxychloride 88% w/w ଔଷଧ ଯାହାକି Blitox-50 ନାମରେ ମିଳୁଛି ସେଥିରୁ 30-ଗ୍ରାମ ଏବଂ 15-ଗ୍ରାମ Plantomycin ଔଷଧ କୁ 15-ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200-ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡିଥାଏ ।",
128,"ତଳି ଘେରାରେ ତଳି ପଚି ଯାଉଛି, ଏହାର ପ୍ରତିକାର ଟି କେମିତି କରିବା?",,Pest and Disease management,Seedling rot,"ଆପଣ ପଚାରି ଥିଲେ ଯେ ତଳି ଘେରା ରେ ତଳି ପଚି ଯାଉଛି, ଏହାର ପ୍ରତିକାର କେମିତି କରିବେ। ଏହାର ପ୍ରତିକାର କରିବା ପାଇଁ ଆପଣ Copper oxychloride 88% w/w ଔଷଧ ଯାହାକି blitox-50 ନାମରେ ମିଳୁଛି ସେଥିରୁ 30-ଗ୍ରାମ ଏବଂ 15-ଗ୍ରାମ Plantomycin ଔଷଧ କୁ 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200-ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ ।",
129,ମୋର ଧାନ ଗଛରେ ପତ୍ରପୋଡା ରୋଗ ଦେଖାଯାଉଛି ଏବଂ ଧାନ ଗଛ ପାଚିଯାଉଛି?,,Pest and Disease management,Bacterial leaf blight,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ପତ୍ରପୋଡା ରୋଗ ର ନିୟନ୍ତ୍ରଣ ଉପରେ। ଯଦି ଧାନ ଗଛ ପତ୍ରର ଅଗ ଭାଗ ଦୁଇ ଧାର ରୁ ପୋଡି ଆସୁଛି ତେବେ Copper oxychloride 88% w/w ଔଷଧ ଯାହାକି Blitox-50 ନାମରେ ମିଳୁଛି ସେଥିରୁ 30-ଗ୍ରାମ ସହ Plantomycin ଔଷଧ କୁ 15-ଗ୍ରାମ 15-ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Hexaconazole 5% EC ଯାହାକି Contaf ବା Trigger ନାମରେ ମିଳୁଛି ସେଥିରୁ 15-ମି.ଲି. ଔଷଧ କୁ 15-ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ । ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200-ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡିଥାଏ ।",
130,ମୋର ଧାନ ଗଛରେ ପତ୍ରପୋଡା ରୋଗ ଦେଖାଯାଉଛି ଏବଂ ଧାନ ଗଛ ପାଚିଯାଉଛି?,,Pest and Disease management,Bacterial leaf blight,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ପତ୍ରପୋଡା ରୋଗ ର ନିୟନ୍ତ୍ରଣ ଉପରେ। ଯଦି ଧାନ ଗଛ ପତ୍ରର ଅଗ ଭାଗ ଦୁଇ ଧାର ରୁ ପୋଡି ଆସୁଛି ତେବେ Copper oxychloride 88% w/w ଔଷଧ ଯାହାକି Blitox-50 ନାମରେ ମିଳୁଛି ସେଥିରୁ 30-ଗ୍ରାମ ସହ Plantomycin ଔଷଧ କୁ 15-ଗ୍ରାମ 15-ଲିଟର ପାଣିରେ ମିଶାଇ କିମ୍ବା Hexaconazole 5% EC ଯାହାକି Contaf ବା Trigger ନାମରେ ମିଳୁଛି ସେଥିରୁ 15-ମି.ଲି. ଔଷଧ କୁ 15-ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ । ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200-ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡିଥାଏ ।",
131,ଧାନ ହେବା ସମୟରେ କଳା କଳା ପଡୁଛି ଏବଂ ଧାନ ଫୁଟି କଳା ପଡି ଯାଉଛି। ଏହାର ପ୍ରତିକାର କ’ଣ ?,,Pest and Disease management,False smut,"ଧାନ ବାହାରିବା ବେଳେ କଳା ପଡିଗଲେ ଏହା ଏକ ରୋଗ ।ଏଥିରେ ଧାନ ମେଞ୍ଚାଏ କଳା ରେଣୁରେ ପରିଣତ ହେଇଯାଏ ଓ ଖଇ ଫୁଟିଲା ଭଳି ଦେଖାଯାଏ। ଏହାର ପ୍ରତିକାର ପାଇଁ Copper Hydroxide 77% WP ଯାହାକି Champion କିମ୍ବା Hi-dice ନାମରେ ମିଳୁଛି ସେଥିରୁ 45 ଗ୍ରାମ 15 ଲିଟର ପାଣିରେ କିମ୍ବା propiconazole 25%EC ଯାହାକି Tilt ବା Xerox ନାମରେ ମିଳୁଛି ସେଥିରୁ 15 ମିଲି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ ।",
132,"ଶୀତ ଦିନେ ଧାନ ଫସଲ ଭଲ ବଢୁ ନାହି, କ’ଣ କଲେ ଭଲ ବଢିବ।",,Crop Growth management,,ସାଧାରଣତଃ ଶୀତ ଦିନେରେ ତାପମାତ୍ରା କମ ରହେ ।ସେଥିପାଇଁ ଧାନ ର ବୃଦ୍ଧି ଠିକ ଭାବରେ ହୁଏ ନାହି ।ତେଣୁ ଏହାର ପ୍ରତିକାର ପାଇଁ ଧାନ ତଳି 15 ଦିନ ର ହେଇଗଲା ପରେ Polyfeed ସାର- 5 ଗ୍ରାମ 15 ଲିଟର ପାଣିରେ ମିଶ।ଇ ଧାନ ଫସଲ ରେ ସିଂଚନ କରନ୍ତୁ।,
133,ଧାନ ଚାଷ କରିବା ପୂର୍ବରୁ ଜମି କୁ ପୁରା ଘାସ ମୁକ୍ତ କରିବି। ଚଉଡା ପତ୍ର ଘାସ ଗୁଡିକ ପ୍ରବଳ ହେଉଛି। ଏଗୁଡ଼ିକୁ ନିୟନ୍ତ୍ରଣ କେମିତି କରି ପାରିବି?,,Weed management,,ଆପଣଙ୍କ ବିଲ ରେ ଚଉଡା ପାତ୍ର ଘାସ କୁ ସମୂଳେ ନାଶ କରିବା ପାଇଁ Glyphosate ଔଷଧ ଯାହାକି Roundoff କିମ୍ବା Glycel-41 କିମ୍ବା No-weed ନା ରେ ମିଳୁଛି ଆପଣ 75 ମିଲି ଔଷଧ କୁ 15 ଲିଟର ରେ ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ।ମନେ ରଖନ୍ତୁ ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ହୋଇ ଥାଏ। ଏହାର 10 ଦିନ ପରେ ବିଲ ରେ ହଲ କରି ବିହନ ବୁଣି ପାରିବେ।,
134,ବୁଣା ଧାନ ଜମିରେ ଘାସ କୁ ପ୍ରତିକାର କେମିତି କରିବା କୁହନ୍ତୁ?,,Weed management,,ଧାନ ବୁଣିବାର 2 ରୁ 3 ଦିନ ମଧ୍ୟରେ ଏକର ପିଛା Pretilachlor 50% EC ନାମକ ତୃଣନାଶକ 600 ମିଲି 200 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ।,
135,ଧାନ ରୁଆ ର କେତେ ଦିନ ପରେ ସାର ମରା ଯାଏ ଏବଂ ତାର ର କେତେ ଦିନ ପରେ ଘାସ ମରା ଔଷଧ ପ୍ରୟୋଗ କରା ଯାଏ।,,Weed management,Pre-emergence weed management,"ଧାନ ରୋଇବା ସମୟରେ ପ୍ରତି ଏକର ଜମିରେ 35 କେଜି DAP ସାର, 13 କେଜି Potash ସାର ଓ 4 କେଜି Urea ସାର ପ୍ରୟୋଗ କରା ଯାଏ । ଯଦି ଏହି ସାର ଦେଇପାରିନାହାନ୍ତି ତେବେ ଧାନ ରୋଇବାର 7 ରୁ 10 ଦିନ ମଧ୍ୟରେ ଏହି ମୂଳ ସାର ପ୍ରୟୋଗ କରି ପାରିବେ। ତୂଣନାଶକ ଭାବରେ ଧାନ ତଳି ରୋଇବାର 2 ରୁ 3 ଦିନ ମଧ୍ୟରେ Pretilachlor ଯାହାକି Craze ବା Refit ନାମରେ ମିଳେ 600 ମିଲି ଔଷଧ କୁ ଏକର ଜମିରେ ପ୍ରୟୋଗ କରନ୍ତୁ।",
136,ଧାନ ଫସଲରେ ଅନାବନା ଘାସ ପାଇଁ ଗଛର ବଢନ୍ତା ଅବସ୍ଥା ରେ କେଉଁ ଘାସ ମରା ତୃଣନାଶକ ବ୍ୟବହାର କରିବି।,,Weed management,,"ଧାନ ଛଟା ବୁଣା କରିବାର 15 ଦିନ ହୋଇଯାଇଥିଲେ Bispyribac Sodium ଯାହାକି Nominee Gold ନାମରେ ମିଳୁଛି 80 ମିଲି ଔଷଧ କୁ 200 ଲିଟର ପାଣିରେ ମିଶାଇ ଏକ ଏକର ଜମିରେ ପ୍ରୟୋଗ କରନ୍ତୁ କିମ୍ବା ଧାନ ଛଟା ବୁଣା କରିବାର 20 ଦିନ ହୋଇଯାଇଥିଲେ 2,4 -D କୁ 500 ଗ୍ରାମ 200 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ।",
